FullPath,FamilyName,FileHashes
C:\Windows\386.exe,RansomHub,"{""md5"":""aca7aa567ee3c953b7a3aff909192690"",""sha1"":""62ab2946175346785aff06665315a4556be147a2"",""sha256"":""f3d86b39b678d33f99c0ec44c41d8c8485bcaba8ca335790a2355eff0de6fbbb""}"
C:\Windows\amd64.exe,RansomHub,"{""md5"":""c457356cde4e4431e592dfa211bbc1e1"",""sha1"":""4ebea36275bc199b859f92d57ec2603b1735529f"",""sha256"":""0b44e2fae069d927a15bf695b63f932062711b6fbb1448fc4608d8d50811e497""}"
C:\users\user\AppData\Local\temp\report.exe,Rhysida,"{""md5"":""6dd8c26f64df37d0c7645b63c9bba51f"",""sha1"":""9e2d705afad61509a90fd07915d3925aa4a3d997"",""sha256"":""a40b815afce131df6d4bc3f389cb64b742f545481119d3ecb78dda22e546a41a""}"
C:\Windows\temp\LmAzeV,Rhysida,"{""md5"":""d41d8cd98f00b204e9800998ecf8427e"",""sha1"":""da39a3ee5e6b4b0d3255bfef95601890afd80709"",""sha256"":""e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855""}"
C:\users\user\AppData\Local\temp\90D9YZTLABHUZPTLX4R39PO.exe,STOP_DJVU,"{""md5"":""3198cb376134375a4c51899169354d20"",""sha1"":""60526c94b741b50b0b5b8356c60f831e0a0fb6cf"",""sha256"":""7c7c88659ab8808c038197d18719f70a5c432d9389ec2aa52defb7ba02c47495""}"
C:\users\user\Desktop\DWAgent (2).zip,Unknown,"{""md5"":""901652b73ffdf4637c7752b6090e3290"",""sha1"":""e7c79843696eadb8a99c3a35cf58aa1352104f7e"",""sha256"":""4ad8734edc480656561b35aa6d4bbd93048016b9ee14cfaef3bd0ad84f0c4254""}"
C:\users\user\Desktop\DWAgent.zip,Unknown,"{""md5"":""b98ccbd215e8fe6ac379831a9103c377"",""sha1"":""a5d264baa5d16da75ecad99d41cb1148f6284e66"",""sha256"":""a437c844e6c54cc2fcf5f1c293a0be8be28958cecbbd363360046a9900f1e5a0""}"
,,"{""sha256"":""abc123""}"
,TestFamily,"{""sha256"":""def456""}"
C:\test,EmptyHash,
NOTE:  Coveware only pulls hashes from certain folders and can only do so if the file exists on disk at the time our Recon forensic agent is run.  We will typically have more IOCs/filenames called out on our Quarterly Adversary TTP Analysis than hashes to provide.,,
